domain,sample_id,question,human_answer,chatgpt_answer,standard_label,review_result,notes
finance,5b6b893b-5809-415a-96e1-e9b0d0ce8cbf,How can OTC scams affect you?,,,human,,
finance,bb6f7d8f-7bc7-4726-9994-f589337aac94,Are there Cashflow Positive Investment Properties in the USA?,,,human,,
finance,116b88b1-afe7-4d85-af31-392610da9011,"What tax rules apply to selling of digital goods, specifically in-game currencies?",,,human,,
finance,ee64e23a-4a9b-4a3e-aab4-704260795f96,What tax-free retirement accounts are available for self-employed individuals?,,,ai_generated,,
finance,67ecd838-aa2f-4453-b920-5bac93d26d43,Saving for retirement without employer sponsored plan,,,ai_generated,,
finance,4704f93d-02af-496d-94ab-0116cf1ac00d,Selling non-dividend for dividend stocks,,,ai_generated,,
finance,ab8c0cbc-b31b-4417-b651-e7a44a69fe1e,"Car finance, APR rates and per week in adverts; help understanding them",,,human,,
finance,1cc2550c-1701-4d83-b597-872a24d54d7a,How to calculate P/E ratio for S&P500 sectors,,,ai_generated,,
finance,992fbe48-23e6-4d21-a1b7-d23761df7e9a,How to maximize small business 401k contribution?,,,ai_generated,,
finance,0b6d9f89-2157-4856-b7bf-3916e5f34860,"How can I help others plan their finances, without being a “conventional” financial planner?",,,ai_generated,,
finance,001e34ff-6401-428e-96d5-08fa3ad63738,"Using stock markets in Europe, how can I buy commodities / resources, to diversify my portfolio?",,,ai_generated,,
finance,6903c7c6-b64d-4afe-a3c0-436131b022f2,Market Close Order,,,human,,
finance,6d20d1d1-72e9-4c83-b7ec-14f016cf7efb,Can a custodian refuse prior-year IRA/HSA deposit postmarked April 15?,,,human,,
finance,a93ba494-7a5b-4b7a-8c9f-6e3e18983f01,"Is there a benefit, long term, to life insurance for a youngish, debt, and dependent free person?",,,human,,
finance,d60b7184-399f-4f6f-9d26-d67eb9928721,What's the justification for the DJIA being share-price weighted?,,,ai_generated,,
finance,37e5d731-ad2d-4a4f-8d94-9c5f86134d66,APR for a Loan Paid Off Monthly,,,human,,
finance,6571442e-7506-4658-9ed4-322be1c74d31,What's the fuss about Credit Score / History?,,,ai_generated,,
finance,73b616be-c4a1-4241-ae5b-9e38e60bbc1d,What happens to all of the options when they expire?,,,ai_generated,,
finance,da3d4d51-c344-4193-ae71-2cf685fd3b92,Saving/ Investing a lump sum,,,ai_generated,,
finance,f215497c-5197-4d18-8542-55fbbcfc2416,"Are personal finance / money management classes taught in high school, anywhere?",,,human,,
finance,cad5dbda-63ad-420e-9a9d-dc2ce6ca3c3b,Bid-ask price Question,,,human,,
finance,551809f3-d95d-46eb-b738-8b4bc8c7e913,How do disputed debts work on credit reports?,,,ai_generated,,
finance,79ee72bd-0b19-4ae4-8abb-00ea267ae0e7,Why are auto leases stubbornly strict about visa status and how to work around that?,,,human,,
finance,d7e80749-5599-46ef-8854-f8579249e659,Why index funds have different prices?,,,human,,
finance,cf9cc9f0-d186-4bfd-b52c-180e79f971b3,How many days do I have to hold a stock before it is considered a capital gain by the CRA?,,,ai_generated,,
finance,056d2228-fc17-42c2-9bca-f8351750e965,Why does it take two weeks (from ex-date) for dividends to pay out?,,,ai_generated,,
finance,d274018d-fe9a-4bdd-b349-324ee1b8e762,Can compensation income from an employee stock purchase plan be negative?,,,ai_generated,,
finance,7a7cbd28-97a0-4bfb-b7ff-550059d82a5e,Capital losses on early-purchased stock?,,,ai_generated,,
finance,aa333529-e800-4e2e-bd08-a729d6d76ffb,stock for a particular brand,,,human,,
finance,022e3745-7339-4f77-b92d-25bf66d821bd,Is it possible to trade CFD without leverage?,,,ai_generated,,
finance,66d82ea5-52fe-439b-9861-0f7e56931e69,What forms of payment am I compelled to accept?,,,ai_generated,,
finance,16bd09e8-4b62-40be-a777-85457cae64d0,Why is the breakdown of a loan repayment into principal and interest of any importance?,,,human,,
finance,f9454488-eda9-4009-8b9b-25fcf328753d,Possible to use balance transfers to avoid interest with major credit cards?,,,ai_generated,,
finance,2d076bb4-7ff8-4479-89d2-5d3b7abf4cf0,Optimize return of dividends based on payout per share,,,ai_generated,,
finance,23c5a161-e8d9-44d5-842e-8879c8e0555c,Where is my dividend?,,,ai_generated,,
finance,2ad6e7f2-c9cd-4dcb-bc6a-35b533a6d620,Where to Park Proceeds from House Sale for 2-5 Years?,,,ai_generated,,
finance,cef7d6e7-476f-4a01-b021-bf73f91d46ae,Opportunity to buy Illinois bonds that can never default?,,,ai_generated,,
finance,a800d91a-4b55-4e03-8a6a-880bf66ae5b1,Is it irresponsible for me to lease a $300/month car for 18 months?,,,ai_generated,,
finance,2e170499-56eb-4086-8111-7c32a2055406,Taking Losses To Save On Tax,,,ai_generated,,
finance,86d4edaf-8266-4461-a20b-4026e5940f01,Investing tax (savings),,,ai_generated,,
finance,4986b593-2b49-465f-b99b-3698648e0d66,How can I make a one-time income tax-prepayment to the US Treasury?,,,human,,
finance,8302af30-9a64-4fa7-9e2d-ce6db302b516,What is the different between 2 :1 split and 1:1 split,,,ai_generated,,
finance,e68544ba-ed88-4fe7-bf00-89a74bc288a8,Is it cheaper to use car Insurance or pay out of pocket?,,,ai_generated,,
finance,268ee7d1-c6ac-40d4-978f-915535f10f4c,World Indexes - Variance between representation of a country's stocks and the country's proportion of world GDP,,,human,,
finance,52b7b341-453c-4b4a-b3c1-419761d88dd5,Pros & cons of investing in gold vs. platinum?,,,ai_generated,,
finance,2d996bf0-5301-44a4-af92-b032031b7307,Why do only motor insurers employ “No Claims Discounts”?,,,human,,
finance,27340b9a-c0ab-4ce4-a896-305445299337,Is it a gift or not?,,,ai_generated,,
finance,a0d15afd-1dab-407c-884e-5fdc712dbe4a,How do I find out the Earnings Per Share of a Coca Cola Co Share?,,,ai_generated,,
finance,1d99922b-97eb-403e-99d8-8d788d87fb29,"Buy tires and keep car for 12-36 months, or replace car now?",,,ai_generated,,
finance,354dc062-390c-4ed8-b637-c44bf24d07f9,How does order matching happen in stock exchanges?,,,human,,
finance,1a24e409-9581-4b0b-944a-f019f984d7b5,How to determine how much to charge your business for rent (in your house)?,,,ai_generated,,
finance,8989d016-4918-4309-bfa1-af68f46bc9f9,Estimating the impact of tax-loss harvesting,,,ai_generated,,
finance,351e414f-60f7-4902-ae07-d684ec93adfe,Want to buy above market price?,,,human,,
finance,b5b1fc2e-1c4b-42ad-bd25-22883e28b3de,How to decide on split between large/mid/small cap on 401(k) and how often rebalance,,,human,,
finance,1206d040-206a-4da0-8116-caed65a2cb02,What is the contribution limit for a SEP-IRA?,,,human,,
finance,b432a51b-3ce4-4e26-a9fc-ed549245a3d7,Where can I find definitive terms for a preferred share?,,,human,,
finance,c65581c1-565d-4b9e-a6e7-f3453381f537,What kinds of exchange-traded funds (ETFs) should specifically be avoided?,,,ai_generated,,
finance,e571193d-f270-48fc-ad4d-3f2cbd57dbef,"How to calculate money needed for bills, by day",,,ai_generated,,
finance,b5eda1e6-faaa-4aa9-93b7-df4bd441336d,How do I invest in emerging markets,,,human,,
finance,b9c47c08-e0b9-4874-a4e1-e217d8f9902a,Transferring money between two banks,,,human,,
finance,d3209b88-77d2-47e5-9734-29b0944c28a2,How to pay bills for one month while waiting for new job?,,,human,,
finance,8aa3e99d-6223-43dd-8e55-ebc7656d5dc4,Can I get a dumbed down explanation of risk measures used for evaluating stocks?,,,ai_generated,,
finance,028a422a-d241-49c5-bfa6-99b32078969f,Put-Call parity - what is the difference between the two representations?,,,human,,
finance,b407b772-3f1a-476b-9c4b-5110b43e6036,Best return on investment for new home purchase,,,ai_generated,,
finance,a4b3fc8a-b0be-4738-8c8d-c5865d8f369e,Who Can I Hire To Calculate the Value of An Estate?,,,human,,
finance,bdc522dd-0004-4567-8780-ea30f94f69c9,Is the average true range a better measure of volatility than historical volatility,,,human,,
finance,fa8aa3f2-0542-4aed-8993-ab25ce4d98d1,Is candlestick charting an effective trading tool in timing the markets?,,,ai_generated,,
finance,15b21a76-0544-4961-84c7-e1aa1517475e,Do I have to pay taxes in the US if my online store sells to US customers even though I don't live in the US?,,,human,,
finance,a8b1cea7-f49a-426e-9668-9ff494bf911e,Investing in a growth stock periodically,,,human,,
finance,f5ada8a5-1089-4a7f-a605-2eb74abb4266,Credit balance on new credit card,,,ai_generated,,
finance,823951ae-a41c-487c-a5b0-444ccb715a7a,What happens to class action awards for a stock in an IRA?,,,ai_generated,,
finance,7e1aecdb-be68-4b1d-849a-c7d1648f2fec,Standardized loan options to purchase employee stock options,,,ai_generated,,
finance,598d9747-4076-4460-8e0d-f94c62ac30fe,"How can I make $250,000.00 from trading/investing/business within 5 years?",,,human,,
finance,14c2be00-31fd-45b1-8f75-3c42279f9655,Best personal finance strategy to control my balance,,,human,,
finance,46782951-5557-4da5-b44d-f0b9317608f8,Why does Yahoo Finance's data for a Vanguard fund's dividend per share not match the info from Vanguard?,,,ai_generated,,
finance,d732a8e9-47af-412f-a42d-353e9977b902,Lump Sum Investing vs. Dollar Cost Averaging (as a Long Term Investor),,,ai_generated,,
finance,7bbe5a48-d654-4faa-9eca-843cb3e28ad0,Can I trust the Motley Fool?,,,ai_generated,,
finance,0b61adea-1cce-4c95-8ebf-1d25bab4cf61,Buying a car and learning to drive versus paying up study loans,,,ai_generated,,
finance,5b440815-a6da-4763-bc73-5a2de1f69941,What exactly is a “derivative”?,,,human,,
finance,d82ce4ab-7c40-4649-8120-3cea9d5508b4,Higher auto insurance costs: keep car or switch to public transit?,,,human,,
finance,d6bff4e9-d660-461a-96cb-bd3a66bc2222,What is a call spread and how does it work?,,,ai_generated,,
finance,64868611-cdc5-4d7b-8335-1927ed02eca2,"Making $100,000 USD per month, no idea what to do with it",,,ai_generated,,
finance,328228b5-0921-469d-87b2-fa4f101fb801,"Which practice to keep finances after getting married: joint, or separate?",,,human,,
finance,df5f09e7-dd36-4a96-b1e6-e686023c0283,Why is it that stock prices for a company seem to go up after a layoff?,,,human,,
finance,6cc67f9c-44b2-4b61-89f0-398dc905459e,What is network marketing?,,,ai_generated,,
finance,85273c26-3e94-4f6b-a6b2-fbd4fa9a4d95,Mortgage refinancing fees,,,human,,
finance,ba98aedd-5d50-4c29-8226-4d8c860b1a51,Should I pay off my student loan before buying a house?,,,human,,
finance,26a8d26c-d128-41a9-ab08-be8d4be881c9,How to read a balance sheet to determine if a company has enough money to keep paying their employees?,,,human,,
finance,a0b28a2f-c094-45d2-9e89-07474609917b,"If I have a lot of debt and the housing market is rising, should I rent and slowly pay off my debt or buy and roll the debt into a mortgage?",,,human,,
finance,e85336e4-3f42-44f5-9d03-c9d5fa36a34a,At what age should I start or stop saving money?,,,ai_generated,,
finance,98ae9565-22bf-453c-8caa-c58c940be558,How much should I save up per trade?,,,ai_generated,,
finance,ae57d9cb-19bb-470d-8828-cf9ce1c24c29,Should I really pay off my entire credit card balance each month or should I maintain some balance?,,,ai_generated,,
finance,d0f55336-2325-458b-ae6c-9f32e0d2645f,Investment for beginners in the United Kingdom,,,ai_generated,,
finance,c468e0df-104e-4db4-b736-6681ce8cfd68,Professional investment planning for small net-worth individual in bearish market,,,ai_generated,,
finance,510496c0-aeb8-4be2-becc-887c52766b70,What is the Blue Line in these stock Charts?,,,human,,
finance,c5ff30f9-76fe-4c47-beb9-5b64bf52d9bb,Events that cause major movement in forex?,,,ai_generated,,
finance,b0adfc40-0138-415f-8881-a04066146112,How can a 'saver' maintain or increase wealth in low interest rate economy?,,,human,,
finance,b8ac05f8-91e6-49bc-bb53-28a40d2e10d1,What happens to options after a stock split?,,,human,,
finance,efe61c86-0d17-45fc-97dd-89e51a78ec05,Will prices really be different for cash and cards?,,,human,,
finance,2d206be4-4b2e-4aa9-8a69-dddab4477ece,Avoiding Capital Gains Long Term,,,ai_generated,,
finance,8487d5d6-dba6-42fc-9229-5635e47d29de,Why would a bank take a lower all cash offer versus a higher offer via conventional lending?,,,human,,
finance,7c4b36c2-2cdd-4741-af8e-e3ab41b1f4ef,Comparing the present value of total payment today and partial payments over 3 months,,,ai_generated,,
finance,207ef575-7ee4-420c-ae73-20cd163bcc4a,How and Should I Invest (As a college 18 year old with minimal living expenses)?,,,ai_generated,,
finance,b0249564-12d3-4738-afe3-c828e86ef348,Separate bank account for security deposit from tenant,,,human,,
finance,8b1059b1-419e-409b-a538-e00ec8168888,What are the pros and cons of buying an item on installments with zero percent interest?,,,ai_generated,,
finance,a3ded463-166c-4ea4-a60e-9c3d88e3cb9c,Will unpaid taxes prevent me from getting a business license?,,,human,,
finance,91ead04d-8173-43aa-a645-f45dd7701df6,"Was this bill forgotten by a medical provider, and do notices need to be sent before collections?",,,ai_generated,,
finance,4de8bd69-322d-4924-b43d-21a665f03a48,What does it mean for issuing corporations to “crank out expensive shares when markets are frothy … and issue debt when markets are cheap”?,,,human,,
finance,fdf2444a-a6f0-4cc5-8358-5a6b23274265,Are Australian mutual fund fees large compared to US?,,,human,,
finance,e3dde1e0-ea87-41d4-991c-4efffd385a8a,Value of credit score if you never plan to borrow again?,,,ai_generated,,
finance,d7ff4585-6ff9-4325-8989-d2e94471ee1e,Is there a widely recognized bond index?,,,ai_generated,,
finance,c9f41125-fa71-4759-bcee-1b67964ad97f,Can a US bank prevent you from making early payments to the principal on a home mortgage?,,,human,,
finance,b4a1bf10-62e1-417e-8457-4f90dd54a6e4,Is debt almost always the cause of crashes and recessions?,,,human,,
finance,d919067f-79a0-4b2b-bb75-c88530f0827e,Why there's always a very huge volume of trades for AAPL every day before market close?,,,human,,
finance,8e2d7b02-3320-474b-86fb-9d0a688f8f81,Yahoo Finance not showing detailed information for foreign stocks,,,ai_generated,,
finance,a77f21d0-58aa-46dd-97e0-4c37977da8a2,How can one tell if a company's quarterly financial report represents a profit or loss?,,,human,,
finance,9582f11f-1cd2-4cca-b088-1a72c6027986,what is the point of the part b late enrollment penalty?,,,ai_generated,,
finance,aeb1ddbb-37b6-40ee-90a5-696101ed88cd,(Legitimate & respectable) strategies to generate “passive income” on the Internet?,,,human,,
finance,c86f9c5e-1b2d-4ef5-9759-fdea56b895fb,Can Warren Buffet's method be distilled into basic steps?,,,ai_generated,,
finance,7bed3f33-b007-4973-a1d4-4992a5d6c412,"Why are real-term bond yields systematically declining, and what does it mean for investors?",,,ai_generated,,
finance,27b6336c-833b-421b-9ce2-735ce1e9568a,Austrailian tax resident earning salary in the UK - how much tax do I pay on foreign income?,,,ai_generated,,
finance,a8150eae-557b-4296-ac4e-982390687377,Would I qualify for a USDA loan?,,,human,,
finance,32ecf4bb-884b-4e3e-ba2f-bd65a0381f15,Lending to the bank,,,ai_generated,,
finance,6bdd9ef3-78be-4340-b772-b828eaebd4c3,My Co-Signer is the Primary Account Holder for my Car Loan - Does this affect my credit?,,,ai_generated,,
finance,c2b5e628-87ac-447e-85e5-bb87eb25f126,How do I make a small investment in the stock market? What is the minimum investment required?,,,ai_generated,,
finance,81339efc-4540-4c43-9100-2ab4db1e4988,What is the difference between Protected-equity loan vs Equity loan?,,,human,,
finance,03f75493-49c7-4b3f-8b39-c493b2688218,Understanding the symbols next to the Ticker,,,human,,
finance,65893246-db52-43f8-be46-5b741147cb76,Definition of “secular” in the context of markets?,,,human,,
finance,baa328fb-58d3-4f6f-aa0b-45e520571422,Buying a more expensive house as a tax shelter (larger interest deduction)?,,,human,,
finance,bcc721e7-5148-4bb1-a9c7-8b54ad86eaa6,Capital gains on no-dividend stocks - a theoretical question,,,ai_generated,,
finance,37097c4d-3d31-4bcf-8eaf-a5b844b7ebcc,"Is stock in a company considered a good or a service, or something else?",,,human,,
finance,bbbdabaa-7a6c-4f63-ae52-f41b15e3dcdb,Comparing keeping old car vs. a new car lease,,,ai_generated,,
finance,e57f6a68-0dad-421c-a676-9e0480eaf021,Expensive agenda book/organizer. Office expense or fixed asset?,,,human,,
finance,70d8ea94-65a1-4f1c-984a-ae91812c7fde,Why the need for human brokers while there are computers?,,,ai_generated,,
finance,aa12ac65-ac94-46b3-8e73-fa0ebf942fd1,What could be the harm in sharing my American Express statements online?,,,ai_generated,,
finance,abf50569-a171-4efb-accb-09330830e6db,When would one actually want to use a market order instead of a limit order?,,,human,,
finance,e8dd4d35-b499-4b6a-bbd8-05545d95784c,Unemployment Insurance Through Options,,,human,,
finance,00f92977-2a41-4c7f-bf78-c4b01bb060ab,What can make a stock price rise without good news or results?,,,ai_generated,,
finance,9287f93d-b522-40e4-a716-dc3cf59a53bc,Trading : how to deal with crashes (small or big),,,ai_generated,,
finance,a89d0657-ab13-4e92-b12c-4a90576af6a0,Reporting financial gains from my online store,,,human,,
finance,e213db0d-12b2-492c-91d0-082dac868047,Correct Ways of Importing Personal Finance Transaction Data,,,ai_generated,,
finance,835d8875-b4c3-4ec7-8459-db229dbdd73b,Best return on investment for new home purchase,,,human,,
finance,36272ded-8f27-47f0-86ed-cc8a3ea0a016,Gym membership tax deductible?,,,human,,
finance,df33f33f-c86e-413e-bc6e-b21db9b5440a,Why are american call options more valuable than european options ONLY if the underlying asset pays cash flows?,,,ai_generated,,
finance,2849df0d-9413-458f-83f6-a68213b428bd,Do I still need to pay capital gains taxes when I profit from a stock in a foreign currency?,,,human,,
finance,50f90160-7dbb-456b-a2d4-f637d0b19ffa,"If I were to get into a life situation where I would not be able to make regular payments, do lenders typically provide options other than default?",,,human,,
finance,520e56f5-45db-49c0-9ffe-b5607190a1f4,Am I still building a credit score if I use my credit card like a debit card?,,,human,,
finance,39ed93a7-157e-45fc-9133-e6ec55fb6a9c,Why the need for human brokers while there are computers?,,,human,,
finance,a29a45c5-8970-4d71-8565-a6a656e0455a,Can vet / veterinary bills be considered deductions (tax-deductible) for Income Tax purposes [Canada]?,,,human,,
finance,b0b09bc4-4503-4146-b4d7-dd2c98d03d20,First time home buyer. How to negotiate price?,,,human,,
finance,739a24e7-de38-4d92-b791-597311629537,What's the fuss about identity theft?,,,ai_generated,,
finance,f56a2efc-44ce-47cc-9b54-d0d88e4700d0,Advantage of Financial Times vs. free news sources for improving own knowledge of finance?,,,human,,
finance,b22eda96-ae0a-42fb-887b-ac217451c558,What is the best approach to save money for College for three kids?,,,human,,
finance,05bb8d15-390d-4c35-b1d8-2b4da5ecb47f,Why was S&P 500 PE Ratio so high on May 2009,,,ai_generated,,
finance,a07f1e17-f968-4eb8-850e-2633e31e17e1,"Is Weiss Research, Inc. a legitimate financial research company?",,,human,,
